dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
16/02/2023,S(A)K,"שמ""א ג,יג","Deleted meteg in ""בַּעֲוֺ֣ן"" (as found in AC and LC). Credit to Daniel Holman.",,
16/02/2023,S(A)K,"שופטים כא,ג","Added dagesh to ""זֹּ֖את"" (as found in AC and LC). Credit to Daniel Holman.",,
15/02/2023,S(A)K,"דברים לג,כט","Added meteg in ""בַּֽיהֹוָ֔ה"" (as in AC and LC). Credit to Daniel Holman.",,
13/02/2023,S(A)K,"משלי ו,כז C",Added open parashah (//{{פפ}}//) before the verse in Column C (as in AC and LC). Credit to Bezalel Ariel.,,
12/02/2023,S(A)K,"תהלים פו,ט","Removed meteg from ""וְיִשְׁתַּחֲו֣וּ"" (as in AC and LC). Credit to Moshe Greenberg.",,
11/02/2023,S(A)K,"מל""ב כ,יא","Expanded target of documentation note to include ""וַיִּקְרָ֛א יְשַׁעְיָ֥הוּ"" (tevir followed by tevir), and expanded the content of the note.",,
11/02/2023,S(A)K,"מל""ב ח,ו","Expanded target of documentation note to include ""מִיּ֛וֹם עׇזְבָ֥הֿ"" (tevir followed by tevir), and expanded the content of the note.",,
09/02/2023,S(A)K,"שמ""ב ז,ט","Expanded target of documentation note to include ""וְעָשִׂ֤תִֽי־לְךָ֙"", and added maqaph (as in AC) which aids vocalization.",,
09/02/2023,S(A)K,"שמ""א ה,יב",Added documentation note to qeri ukhtiv pair.,,
09/02/2023,S(A)K,"שמ""א ה,ו",Added documentation note to qeri ukhtiv pair.,,
08/02/2023,S(A)K,"יחזקאל טז,יב",Added to documentation note for conformity with the three previous entries (similar issue in all of them).,,
08/02/2023,S(A)K,"שופטים כ,לה","Expanded target of documentation note to include ""שֹׁ֥לֵֽף־חָֽרֶב"", and added maqaph (as in AC) which aids vocalization.",,
08/02/2023,S(A)K,"שופטים כ,ב","Expanded target of documentation note to include ""שֹׁ֥לֵֽף־חָֽרֶב"", and added maqaph (as in AC) which aids vocalization.",,
08/02/2023,S(A)K,"שופטים ח,י","Expanded target of documentation note to include ""שֹׁ֥לֵֽף־חָֽרֶב"", and added maqaph (as in AC) which aids vocalization.",,
08/02/2023,S(A)K,"יהושע יד,יג","Added documentation note to ""וַֽיְבָרְכֵ֖הוּ"". Note: Did not yet add varika mark!",,
08/02/2023,S(A)K,"יהושע יב,ו","Added documentation note to ""הַֽמְנַשֶּֽׁה"". Note: Did not yet add varika mark!",,
07/02/2023,S(A)K,"יחזקאל כג,לו","Added dagesh in the letter ת of ""תּוֹעֲבוֹתֵיהֶֽן"" (as found in AC and LC). Credit to Daniel Holman.",,
07/02/2023,S(A)K,"זכריה ט,יז","Attempt to fix diacriticals in the letter י of ""וּמַה־יׇּפְי֑וֹ"".",,
06/02/2023,S(A)K,"יחזקאל טז,יב","Added maqaph to ""וָ֥אֶתֵּֽן־נֶ֙זֶם֙"" (as appears in AC and LC) and greatly expanded documentation note.",,
05/02/2023,BD,"יחזקאל כג,ד",Removed space after equals sign (=) in a ס= argument to the מ:קמץ template.,,
05/02/2023,BD,"ויקרא י,יז",Removed space after equals sign (=) in a ס= argument to the מ:קמץ template.,,
05/02/2023,S(A)K,"דברים טז,ב",Greatly expanded the documentation note and widened its target. The biblical text is unchanged.,,
05/02/2023,S(A)K,"ירמיהו ט,י","Changed the accent in ""מִבְּלִ֥י"" to merkha (as it clearly appears in AC and LC).",,
05/02/2023,S(A)K,"ירמיהו ט,יא","Changed the accent in ""מִבְּלִ֥י"" to merkha (as it clearly appears in AC [in LC the line is straight but merkha rather than tippeha or meteg is intended]). Credit to Asael Reiter.",,
05/02/2023,S(A)K,"יחזקאל כח,טז","Added documentation note to ""תוֹכְךָ֛"" (for hataph). Note: Did not yet add varika mark!",,
05/02/2023,S(A)K,"תהלים עב,יז","Added לגרמיה following ""יְהִ֤י שְׁמ֨וֹ"" (as appears in AC and LC). Credit to Moshe Greenberg.",,
04/02/2023,S(A)K,"יחזקאל טז,יב","Moved the word following the documentation note ("" נֶ֙זֶם֙"") into the note for clarity (in AC they are combined via maqaph). The biblical text is unchanged.",,
02/02/2023,BD,"ישעיהו, ירמיהו","Added varika marks to ירמיהו and made documentation changes to ישעיהו and ירמיהו. All these changes (137 of them) were from Wikisource, and were made via AutoEdits.",,
31/01/2023,S(A)K,"מל""ב יב,כב","Added meteg to the letter ו in ""וַֽיִּקְבְּר֥וּ"" (as it appears in AC [but not in LC]). Credit to anonymous contributor at Wikisource.",,
31/01/2023,S(A)K,"מל""ב יז,ד","Replaced patah with shewa in the letter ע of ""וַֽיַּעְצְרֵ֙הוּ֙"" (as appears in LC and S1); AC is not extant for this verse. Credit to anonymous contributor at Wikisource.",,
30/01/2023,S(A)K,"דה""ב ו,מב","Qamaz qatan in ""זׇכְרָ֕ה"" (hataph-qamaz to indicate qamaz hatuph) and update to documentation note.",,
30/01/2023,S(A)K,"יחזקאל לב,כ",Improvement to documentation note about hataph-qamaz to indicate qamaz hatuph. The appearance of biblical text is unchanged; this only affects the note.,,
30/01/2023,S(A)K,"ירמיהו ב,יב",Improvement to documentation note about hataph-qamaz to indicate qamaz hatuph. The appearance of biblical text is unchanged; this only affects the note.,,
30/01/2023,S(A)K,"ירמיהו מט,כח",Improvement to documentation note about hataph-qamaz to indicate qamaz hatuph. The appearance of biblical text is unchanged; this only affects the note.,,
30/01/2023,S(A)K,"ירמיהו יב,טז",Improvement to documentation note. The appearance of biblical text is unchanged; this only affects the note.,,
29/01/2023,S(A)K,"ירמיהו מח,לב",Improvement to documentation note. The appearance of biblical text is unchanged; this only affects the note.,,
29/01/2023,S(A)K,"ירמיהו נב,כב",Tweak to clarify documentation note. The appearance of biblical text is unchanged; this only affects the note.,,
